"VarName";"TimeString";"VarValue";"Validity";"Time_ms";"Checksum"
"CT313_PV_OUT";"02.07.2023 11:16:21";0;1;45109469683,8889;sOJv/c
"CT313_PV_OUT";"02.07.2023 11:16:51";0;1;45109470031,6435;BuuNPy
"CT313_PV_OUT";"02.07.2023 11:17:21";0;1;45109470378,5995;SIpuV+
"CT313_PV_OUT";"02.07.2023 11:17:51";0;1;45109470725,5671;KyW6du
"CT313_PV_OUT";"02.07.2023 11:18:21";0;1;45109471073,0787;H8fvxY
"CT313_PV_OUT";"02.07.2023 11:18:51";0;1;45109471419,8264;yD+q5+
"CT313_PV_OUT";"02.07.2023 11:19:21";0;1;45109471767,8241;gMFTJn
"CT313_PV_OUT";"02.07.2023 11:19:51";0;1;45109472115;LxBwlG
"CT313_PV_OUT";"02.07.2023 11:20:21";0;1;45109472461,0069;mTXtXg
"CT313_PV_OUT";"02.07.2023 11:20:51";0;1;45109472808,0208;7Bex5o
"CT313_PV_OUT";"02.07.2023 11:21:21";0;1;45109473154,8727;7MkDxv
"CT313_PV_OUT";"02.07.2023 11:21:51";0;1;45109473502,9398;H5i94h
"CT313_PV_OUT";"02.07.2023 11:22:21";0;1;45109473848,4838;5W6tq5
"CT313_PV_OUT";"02.07.2023 11:22:51";0;1;45109474196,4236;sWXGRI
"CT313_PV_OUT";"02.07.2023 11:23:21";0;1;45109474543,4491;aO2Dnn
"CT313_PV_OUT";"02.07.2023 11:23:50";0;1;45109474890,0463;AuCG/u
"CT313_PV_OUT";"02.07.2023 11:24:21";0;1;45109475237,4537;/OGIhj
"CT313_PV_OUT";"02.07.2023 11:24:50";0;1;45109475584,3403;lNjCTi
"CT313_PV_OUT";"02.07.2023 11:25:20";0;1;45109475929,5602;L/27mr
"CT313_PV_OUT";"02.07.2023 11:25:50";0;1;45109476277,4653;YpnCO0
"CT313_PV_OUT";"02.07.2023 11:26:21";0;1;45109476633,9815;axw/uf
"CT313_PV_OUT";"02.07.2023 11:26:51";0;1;45109476980,5324;rgbyXg
"CT313_PV_OUT";"02.07.2023 11:27:21";0;1;45109477326,6088;eHuigd
"CT313_PV_OUT";"02.07.2023 11:27:51";0;1;45109477673,0671;adL1tv
"CT313_PV_OUT";"02.07.2023 11:28:21";0;1;45109478022,1296;7q44nW
"CT313_PV_OUT";"02.07.2023 11:28:51";0;1;45109478369,7222;eUF8yO
"CT313_PV_OUT";"02.07.2023 11:29:21";0;1;45109478715,4167;4vaihG
"CT313_PV_OUT";"02.07.2023 11:29:51";0;1;45109479062,9977;gdA1bH
"CT313_PV_OUT";"02.07.2023 11:30:21";0;1;45109479407,4769;GKZEt1
"CT313_PV_OUT";"02.07.2023 11:30:51";0;1;45109479755,2083;xR4Eac
"CT313_PV_OUT";"02.07.2023 11:31:21";0;1;45109480100,6481;T7vg6V
"CT313_PV_OUT";"02.07.2023 11:31:51";0;1;45109480448,4028;yrufKz
"CT313_PV_OUT";"02.07.2023 11:32:21";0;1;45109480797,2917;y93gmp
"CT313_PV_OUT";"02.07.2023 11:32:51";0;1;45109481144,2477;v0bbuE
"CT313_PV_OUT";"02.07.2023 11:33:21";0;1;45109481491,8403;9NYfp7
"CT313_PV_OUT";"02.07.2023 11:33:51";0;1;45109481838,5185;EScNZj
"CT313_PV_OUT";"02.07.2023 11:34:21";0;1;45109482184,5718;W7wzMj
"CT313_PV_OUT";"02.07.2023 11:34:51";0;1;45109482532,419;tZx/Nz
"CT313_PV_OUT";"02.07.2023 11:35:21";0;1;45109482877,2801;fUdxRD
"CT313_PV_OUT";"02.07.2023 11:35:51";0;1;45109483225,1042;rHkul7
"CT313_PV_OUT";"02.07.2023 11:36:21";0;1;45109483571,0069;6+nAXF
"CT313_PV_OUT";"02.07.2023 11:36:50";0;1;45109483917,6042;csPgA2
"CT313_PV_OUT";"02.07.2023 11:37:21";0;1;45109484265,5671;oga6/h
"CT313_PV_OUT";"02.07.2023 11:37:51";0;1;45109484612,419;7niZLt
"CT313_PV_OUT";"02.07.2023 11:38:21";0;1;45109484960,544;CUucQ2
"CT313_PV_OUT";"02.07.2023 11:38:51";0;1;45109485307,8009;Vqnbj/
"CT313_PV_OUT";"02.07.2023 11:39:21";0;1;45109485654,6296;tPmKuT
"CT313_PV_OUT";"02.07.2023 11:39:51";0;1;45109486001,2153;/9Xtbe
"CT313_PV_OUT";"02.07.2023 11:40:20";0;1;45109486345,8681;jIDoNe
"CT313_PV_OUT";"02.07.2023 11:40:50";0;1;45109486693,5995;/qp1mT
"CT313_PV_OUT";"02.07.2023 11:41:20";0;1;45109487041,2731;9g1sIg
"CT313_PV_OUT";"02.07.2023 11:41:50";0;1;45109487389,1204;n5mzZd
"CT313_PV_OUT";"02.07.2023 11:42:20";0;1;45109487734,6528;qBrMmV
"CT313_PV_OUT";"02.07.2023 11:42:50";0;1;45109488082,4421;9YnuLI
"CT313_PV_OUT";"02.07.2023 11:43:20";0;1;45109488430,5787;QnKURW
"CT313_PV_OUT";"02.07.2023 11:43:50";0;1;45109488777,2917;gUhp14
"CT313_PV_OUT";"02.07.2023 11:44:20";0;1;45109489122,7199;THxJtp
"CT313_PV_OUT";"02.07.2023 11:44:50";0;1;45109489470,4745;TQh7mL
"CT313_PV_OUT";"02.07.2023 11:45:21";0;1;45109489828,4375;dhtbBn
"CT313_PV_OUT";"02.07.2023 11:45:51";0;1;45109490176,1574;mMyKs5
"CT313_PV_OUT";"02.07.2023 11:46:20";0;1;45109490511,1806;DBvD8e
"CT313_PV_OUT";"02.07.2023 11:46:50";0;1;45109490859,0509;Wbdmq3
"CT313_PV_OUT";"02.07.2023 11:47:21";0;1;45109491216,4815;hD694V
"CT313_PV_OUT";"02.07.2023 11:47:51";0;1;45109491564,1319;bekJ+m
"CT313_PV_OUT";"02.07.2023 11:48:21";0;1;45109491908,3449;PExl2B
"CT313_PV_OUT";"02.07.2023 11:48:51";0;1;45109492255,9838;pMiQFr
"CT313_PV_OUT";"02.07.2023 11:49:21";0;1;45109492603,7963;X6Bz3v
"CT313_PV_OUT";"02.07.2023 11:49:51";0;1;45109492951,7477;K9du1H
"CT313_PV_OUT";"02.07.2023 11:50:21";0;1;45109493298,0787;mFYTFK
"CT313_PV_OUT";"02.07.2023 11:50:51";0;1;45109493644,8843;x61197
"CT313_PV_OUT";"02.07.2023 11:51:21";0;1;45109493992,5694;uyBpWN
"CT313_PV_OUT";"02.07.2023 11:51:51";0;1;45109494339,3403;l2NzNI
"CT313_PV_OUT";"02.07.2023 11:52:21";0;1;45109494683,9352;UPivom
"CT313_PV_OUT";"02.07.2023 11:52:51";0;1;45109495031,5394;PyDk0F
"CT313_PV_OUT";"02.07.2023 11:53:21";0;1;45109495379,5255;HhxMij
"CT313_PV_OUT";"02.07.2023 11:53:51";0;1;45109495727,4306;f/tu4/
"CT313_PV_OUT";"02.07.2023 11:54:21";0;1;45109496071,7708;T24sby
"CT313_PV_OUT";"02.07.2023 11:54:51";0;1;45109496419,4676;XCTjtF
"CT313_PV_OUT";"02.07.2023 11:55:21";0;1;45109496768,0903;g7imXK
"CT313_PV_OUT";"02.07.2023 11:55:51";0;1;45109497114,5486;i22Bjm
"CT313_PV_OUT";"02.07.2023 11:56:21";0;1;45109497462,1644;EmWV+A
"CT313_PV_OUT";"02.07.2023 11:56:51";0;1;45109497808,8079;+0oE1A
"CT313_PV_OUT";"02.07.2023 11:57:21";0;1;45109498156,1227;Vb+3Sg
"CT313_PV_OUT";"02.07.2023 11:57:51";0;1;45109498502,7894;hIuWf4
"CT313_PV_OUT";"02.07.2023 11:58:21";0;1;45109498849,2593;KGTZcI
"CT313_PV_OUT";"02.07.2023 11:58:51";0;1;45109499195,9954;+zd0tn
"CT313_PV_OUT";"02.07.2023 11:59:21";0;1;45109499542,8704;WB3h62
"CT313_PV_OUT";"02.07.2023 11:59:51";0;1;45109499890,2431;lOW9cb
"CT313_PV_OUT";"02.07.2023 12:00:20";0;1;45109500235,463;/FCTcH
"CT313_PV_OUT";"02.07.2023 12:00:50";0;1;45109500582,3264;BoJTWA
"CT313_PV_OUT";"02.07.2023 12:01:20";0;1;45109500930,4167;NL9tuU
"CT313_PV_OUT";"02.07.2023 12:01:50";0;1;45109501277,3495;LROyMV
"CT313_PV_OUT";"02.07.2023 12:02:20";0;1;45109501624,7917;Gtcfdv
"CT313_PV_OUT";"02.07.2023 12:02:50";0;1;45109501971,6435;ZWAtia
"CT313_PV_OUT";"02.07.2023 12:03:20";0;1;45109502318,287;JlyDSD
